,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,BACOLOD,10.6762,122.9513,Felicia’s Pastry Cafe and Steak Room,10.675128542151407,122.95386282562,Café
1,BACOLOD,10.6762,122.9513,Dunkin Donuts,10.675615636867626,122.95290478004434,Donut Shop
2,BACOLOD,10.6762,122.9513,Diotay Eatery,10.678972270454146,122.95172151346986,Filipino Restaurant
3,BACOLOD,10.6762,122.9513,KFC,10.674857228337157,122.95257174761801,Fast Food Restaurant
4,BACOLOD,10.6762,122.9513,Negros Museum,10.674958824050183,122.95019235409002,History Museum
5,BACOLOD,10.6762,122.9513,Shakey's Pizza,10.678420724563523,122.95399030333395,Pizza Place
6,BACOLOD,10.6762,122.9513,President's Gym,10.675953507286971,122.95434828523686,Gym
7,BACOLOD,10.6762,122.9513,Mai Pao,10.675544018103354,122.95319633616754,Chinese Restaurant
8,BACOLOD,10.6762,122.9513,Seda Capitol Central,10.676897575891486,122.9533190003437,Hotel
9,BACOLOD,10.6762,122.9513,McDonald's,10.675357161023177,122.95285399487022,Fast Food Restaurant
10,BACOLOD,10.6762,122.9513,Negros Occidental Capitol Lagoon,10.679577635583021,122.95193443945853,Park
11,BACOLOD,10.6762,122.9513,Hyksos Pala Pala,10.678113283795666,122.94914819105198,Seafood Restaurant
12,BACOLOD,10.6762,122.9513,Kaisei,10.677634584513873,122.95381049772956,Japanese Restaurant
13,BACOLOD,10.6762,122.9513,Lay Bare Waxing Salon,10.679034576361635,122.95398832356837,Salon / Barbershop
14,BACOLOD,10.6762,122.9513,Museum Cafe,10.675303,122.950477,Café
15,BACOLOD,10.6762,122.9513,Mely's Garden Restaurant,10.675132809094286,122.95448124353565,Filipino Restaurant
16,BACOLOD,10.6762,122.9513,Sanders Coffee And Sausages,10.67308285395381,122.95187521817361,Restaurant
17,BACOLOD,10.6762,122.9513,Imay's Bar & Restaurant,10.674709435393183,122.95460027227563,Seafood Restaurant
18,BACOLOD,10.6762,122.9513,Cocoon Spa @ L Fisher,10.67998664290068,122.95365484631964,Spa
19,BACOLOD,10.6762,122.9513,Pleasant Travelers Pension House,10.679559838822671,122.9523487433101,Bed & Breakfast
20,BACOLOD,10.6762,122.9513,Negros Museum - Museum Cafe,10.67532650798771,122.95035678118867,History Museum
21,BACOLOD,10.6762,122.9513,L'Fisher Chalet,10.67995033760491,122.95374470928725,Hotel
22,BACOLOD,10.6762,122.9513,Tyrol,10.67767459209093,122.95532520243987,Austrian Restaurant
23,BACOLOD,10.6762,122.9513,Negros Showroom,10.675951778563045,122.95432451712458,Gift Shop
24,BACOLOD,10.6762,122.9513,L'Sea Dimsum & Noodle House,10.67940278164372,122.95432630088335,Chinese Restaurant
25,BACOLOD,10.6762,122.9513,Ading's Pala Pala,10.678727999979099,122.94917734254739,Seafood Restaurant
26,BACOLOD,10.6762,122.9513,Silver and Plum,10.67898787832335,122.95405415519834,Bar
27,BACOLOD,10.6762,122.9513,Avenue Suites,10.678236,122.954118,Hotel
28,BACOLOD,10.6762,122.9513,Yaku-Moo,10.674673,122.955385,Japanese Restaurant
29,BACOLOD,10.6762,122.9513,Bongbong's,10.678945023916976,122.95438589021124,Bakery
30,BACOLOD,10.6762,122.9513,Tostadas Sorrento,10.67896677370942,122.95406792783099,Mexican Restaurant
31,BACOLOD,10.6762,122.9513,Metro Inn Bacolod,10.674738368267317,122.95537570824716,Hotel
32,BACOLOD,10.6762,122.9513,McDonald's,10.67470375583132,122.95513665814117,Fast Food Restaurant
33,BACOLOD,10.6762,122.9513,Starbucks Coffee,10.676616,122.95053,Coffee Shop
34,BAGO,10.5389,122.8366,Saffron Brew,10.538562627432446,122.83515461173127,Café
35,BAGO,10.5389,122.8366,Shell,10.53893824,122.83881924,Gas Station
36,BAGO,10.5389,122.8366,Prince Hypermarket Bago,10.537378501777653,122.83616262696921,Market
37,BAGO,10.5389,122.8366,Bago City Public Market,10.538443315101592,122.83813836587164,Farmers Market
38,BAGO,10.5389,122.8366,Chinky's,10.5384265051436,122.83659777798084,Fast Food Restaurant
39,CADIZ,10.9545,123.3058,Cafe Roshé,10.955139810151769,123.30455908476796,Café
40,CADIZ,10.9545,123.3058,SM Hypermarket Cadiz,10.952443859655368,123.30822423708699,Supermarket
41,CADIZ,10.9545,123.3058,7 Eleven Cadiz,10.954266336769969,123.30671028413089,Convenience Store
42,CADIZ,10.9545,123.3058,Jollibee Cadiz,10.953225978221644,123.30836654212948,Filipino Restaurant
43,CADIZ,10.9545,123.3058,Antonio's,10.956046,123.309687,BBQ Joint
44,ESCALANTE,10.8412,123.4992,Eda's,10.841768482611448,123.49903915835408,Cafeteria
45,ESCALANTE,10.8412,123.4992,Puregold Escalante,10.841774580725264,123.4990282160448,Fruit & Vegetable Store
46,ESCALANTE,10.8412,123.4992,"New Libra Mart, Inc",10.842989671542934,123.49862882089595,Convenience Store
47,ESCALANTE,10.8412,123.4992,Mercury Drug - Escalante,10.843323308617407,123.49714612015524,Pharmacy
48,HIMAMAYLAN,10.1,122.87,7 Eleven,10.100285876577816,122.86962522217873,Fast Food Restaurant
49,HIMAMAYLAN,10.1,122.87,Himamaylan City Ceres Terminal,10.100888167203967,122.86957015790469,Bus Station
50,HIMAMAYLAN,10.1,122.87,Batang Peninsula,10.10128752756304,122.8697849084032,Beach
51,KABANKALAN,9.9904,122.8164,Shell,9.99405774,122.8146705,Gas Station
52,KABANKALAN,9.9904,122.8164,Mercury Drug Kabankalan,9.992403728611873,122.81547403862196,Pharmacy
53,KABANKALAN,9.9904,122.8164,Melting Pot (Kabankalan),9.988347031207248,122.81294523669126,Diner
54,KABANKALAN,9.9904,122.8164,Jollibee - Gaisano,9.993099911073415,122.81817107347388,Fast Food Restaurant
55,KABANKALAN,9.9904,122.8164,Kabankalan city public market,9.992727921006317,122.82006072260624,Flea Market
56,LA CARLOTA,10.4253,122.9224,dj house cafe,10.42572166927323,122.91949319324549,Coffee Shop
57,LA CARLOTA,10.4253,122.9224,Lopues La Carlota,10.425326242639743,122.92329855051211,Convenience Store
58,LA CARLOTA,10.4253,122.9224,La Carlota City Plaza,10.426453212524123,122.92085497305891,Park
59,LA CARLOTA,10.4253,122.9224,Jollibee,10.426916042890678,122.92022024993213,Fast Food Restaurant
60,LA CARLOTA,10.4253,122.9224,Cafe Norma,10.426806400393705,122.92022456142189,Café
61,LA CARLOTA,10.4253,122.9224,Piazza Restaurant,10.42579650590051,122.91952859189439,Restaurant
62,SAGAY,10.895999999999999,123.4154,Barbeque Village,10.895905647395724,123.41535403538688,BBQ Joint
63,SAGAY,10.895999999999999,123.4154,Nikoy's Pizza Haus,10.893855017218916,123.41528284809463,Pizza Place
64,SAGAY,10.895999999999999,123.4154,Coffee Break,10.893263932549754,123.41777437190986,Coffee Shop
65,SAGAY,10.895999999999999,123.4154,Sagay Public Market,10.892353019938122,123.41573238372803,Flea Market
66,SAGAY,10.895999999999999,123.4154,Arbee's Bakeshop,10.892390251159668,123.4166488647461,Bakery
67,SAGAY,10.895999999999999,123.4154,Samcor Lodge,10.895125239540292,123.41931306090336,Hotel
68,SAN CARLOS,10.4824,123.4183,People's Park - San Carlos City,10.484079079674718,123.41968540898061,Park
69,SAN CARLOS,10.4824,123.4183,Gaisano Supermarket,10.483363391445529,123.41687085975902,Market
70,SAN CARLOS,10.4824,123.4183,Y M Business Inn,10.484031,123.417917,Hotel
71,SAN CARLOS,10.4824,123.4183,City Mall San Carlos,10.484645337808692,123.41577518428683,Department Store
72,SAN CARLOS,10.4824,123.4183,San Carlos City Center Mall,10.48412649855433,123.41521713670107,Park
73,SAN CARLOS,10.4824,123.4183,Gaisano San Carlos,10.485687414990043,123.41640541078611,Shopping Mall
74,SAN CARLOS,10.4824,123.4183,McDonald's,10.484973,123.415565,Fast Food Restaurant
75,SILAY,10.7977,122.973,Cafe 1925,10.798150213616703,122.97475162215694,Café
76,SILAY,10.7977,122.973,El Ideal,10.798440736472749,122.97543140341189,Bakery
77,SILAY,10.7977,122.973,Balay Negrense Museum,10.799937375120242,122.97328144480093,Other Great Outdoors
78,SILAY,10.7977,122.973,Hofileña Museum / Heritage House,10.801888564585997,122.9743853770334,Historic Site
79,SILAY,10.7977,122.973,Sir and Maam Restaurant,10.794176848664097,122.97320046923582,Diner
80,SILAY,10.7977,122.973,Dunkin Donuts,10.799362077164702,122.97578803946134,Donut Shop
81,SILAY,10.7977,122.973,Café Velo,10.796952515808872,122.97685572343927,Café
82,SILAY,10.7977,122.973,Silay Public Plaza,10.799695170866134,122.97548550610095,Park
83,SILAY,10.7977,122.973,SM Savemore Silay,10.796647584305541,122.97483153084391,Market
84,SILAY,10.7977,122.973,7 Eleven,10.799111302296506,122.9757606194881,New American Restaurant
85,SILAY,10.7977,122.973,Gaisano Grand Silay,10.794621,122.97317,Shopping Mall
86,SILAY,10.7977,122.973,Tito Chuck's Native Restaurant,10.794853980770403,122.97018277246993,Filipino Restaurant
87,TALISAY,10.7372,122.9673,7 Eleven Talisay,10.738135994686052,122.96711321909612,Convenience Store
88,TALISAY,10.7372,122.9673,Talisay City Public Market,10.738096471953895,122.96659061548334,Flea Market
89,TALISAY,10.7372,122.9673,Talisay city public plaza,10.737029999577302,122.96524283565022,Plaza
90,TALISAY,10.7372,122.9673,Foodman Talisay,10.73925069416654,122.96716272877022,Market
91,TALISAY,10.7372,122.9673,Libramart,10.739668388421864,122.96768532938887,Convenience Store
92,SIPALAY,9.75,122.4019,Sipalay Suites,9.751047955503624,122.39993956574624,Hotel
93,SIPALAY,9.75,122.4019,La Veranda (Jamont),9.751045939935482,122.39959107361376,Filipino Restaurant
94,SIPALAY,9.75,122.4019,Sipalay Boulevard,9.74947196032251,122.3993089600896,Beach
95,SIPALAY,9.75,122.4019,Jamont Pool Area,9.751069068908691,122.39940643310547,Hotel Pool
96,SIPALAY,9.75,122.4019,Sipalay Beach Front,9.749070140961226,122.39927023856642,Beach
97,VICTORIAS,10.8962,123.0726,"Dunkin Donuts, Victorias",10.900058694370255,123.07030391806968,Donut Shop
98,VICTORIAS,10.8962,123.0726,Victorias Commercial Center (VCC),10.900243455864079,123.07066661170842,Shopping Mall
